track_name,artist_name,genre,danceability,energy,loudness,speechiness,acousticness,liveness,valence,tempo,duration_ms,popularity
For What It's Worth,Buffalo Springfield,"['album rock', 'blues rock', 'british blues', 'classic rock', 'country rock', 'folk', 'folk rock', 'heartland rock', 'mellow gold', 'psychedelic rock', 'rock', 'roots rock', 'soft rock', 'southern rock']",0.653,0.519,-10.164,0.0497,0.406,0.101,0.822,98.883,153693,0
The Weight - Remastered 2000,The Band,"['hopebeat', 'pov: indie']",0.63,0.551,-9.28,0.0549,0.373,0.103,0.518,143.868,274493,0
Runaway,Kanye West,"['chicago rap', 'hip hop', 'rap']",0.374,0.568,-3.825,0.109,0.219,0.513,0.111,84.733,547733,0
Ghost Town - 2015 Remaster,The Specials,"['britpop', 'new wave', 'punk', 'ska', 'ska revival']",0.672,0.662,-11.448,0.0634,0.0433,0.353,0.86,73.758,360960,0
Royals,Lorde,"['art pop', 'metropopolis', 'nz pop', 'pop']",0.674,0.428,-9.504,0.122,0.121,0.132,0.337,84.878,190185,0
Get Lucky (Radio Edit) [feat. Pharrell Williams and Nile Rodgers],Daft Punk,"['electro', 'filter house', 'rock']",0.794,0.811,-8.966,0.038,0.0426,0.101,0.862,116.047,248413,0
Suspicious Minds,Elvis Presley,"['rock-and-roll', 'rockabilly']",0.487,0.382,-10.889,0.0309,0.0422,0.411,0.714,116.557,261280,0
Life on Mars? - 2015 Remaster,David Bowie,"['art rock', 'classic rock', 'glam rock', 'permanent wave', 'rock']",0.445,0.384,-14.642,0.0417,0.635,0.0539,0.216,123.295,235987,0
Reach Out I'll Be There - Single Version / Mono,Four Tops,"['classic soul', 'disco', 'motown', 'quiet storm', 'soul']",0.619,0.803,-3.521,0.0317,0.0703,0.27,0.73,119.538,179667,0
That's All Right,Elvis Presley,"['rock-and-roll', 'rockabilly']",0.655,0.405,-9.825,0.036,0.808,0.116,0.696,105.272,115280,0
Get Up (I Feel Like Being A) Sex Machine,James Brown,"['funk', 'soul']",0.838,0.616,-8.351,0.0711,0.18,0.193,0.848,107.695,316333,0
Wonderwall - Remastered,Oasis,"['beatlesque', 'britpop', 'madchester', 'permanent wave', 'rock']",0.375,0.893,-4.097,0.0406,0.000509,0.187,0.434,174.323,258773,0
Heroin,The Velvet Underground,"['alternative rock', 'melancholia', 'permanent wave', 'protopunk', 'rock']",0.201,0.777,-10.167,0.0705,0.304,0.0981,0.235,145.733,433573,0
Whole Lot of Shakin' Going On,Jerry Lee Lewis,"['piano rock', 'rock-and-roll', 'rockabilly']",0.377,0.626,-9.662,0.033,0.832,0.188,0.678,161.468,172400,0
Thunder Road,Bruce Springsteen,"['heartland rock', 'mellow gold', 'permanent wave', 'rock', 'singer-songwriter']",0.369,0.758,-5.871,0.0364,0.623,0.531,0.663,140.71,288720,0
One,U2,"['irish rock', 'permanent wave', 'rock']",0.392,0.534,-8.793,0.0369,0.245,0.155,0.325,181.305,276187,0
I'm Waiting For The Man,The Velvet Underground,"['alternative rock', 'melancholia', 'permanent wave', 'protopunk', 'rock']",0.679,0.645,-9.765,0.0442,0.032,0.152,0.826,125.844,279520,0
